iter	Passed	Remaining
0	2	2249
1	3	1900
2	5	1746
3	6	1616
4	7	1577
5	9	1540
6	10	1511
7	11	1483
8	13	1457
9	14	1440
10	15	1427
11	17	1432
12	18	1427
13	20	1417
14	21	1421
15	22	1412
16	24	1403
17	25	1399
18	26	1389
19	28	1373
20	29	1360
21	30	1360
22	32	1367
23	33	1369
24	35	1367
25	36	1366
26	37	1361
27	39	1355
28	40	1353
29	41	1350
30	43	1345
31	44	1341
32	45	1337
33	47	1338
34	48	1342
35	50	1343
36	51	1344
37	53	1346
38	54	1345
39	55	1338
40	57	1334
41	58	1335
42	60	1335
43	61	1329
44	62	1336
45	64	1340
46	66	1341
47	67	1340
48	69	1351
49	71	1351
50	72	1344
51	73	1345
52	75	1345
53	77	1353
54	78	1352
55	79	1348
56	81	1349
57	83	1348
58	84	1347
59	85	1343
60	87	1340
61	88	1340
62	90	1339
63	91	1337
64	93	1339
65	94	1337
66	96	1338
67	97	1338
68	99	1339
69	100	1341
70	102	1337
71	103	1337
72	105	1335
73	106	1338
74	108	1336
75	109	1334
76	111	1333
77	112	1330
78	113	1327
79	115	1324
80	116	1322
81	117	1320
82	118	1311
83	120	1311
84	121	1310
85	122	1306
86	124	1304
87	125	1301
88	127	1300
89	128	1298
90	129	1296
91	131	1294
92	132	1291
93	133	1288
94	135	1287
95	136	1288
96	138	1286
97	139	1284
98	140	1281
99	142	1279
100	143	1278
101	145	1276
102	146	1274
103	147	1271
104	149	1270
105	150	1268
106	151	1265
107	153	1264
108	154	1262
109	155	1259
110	156	1256
111	158	1255
112	159	1252
113	160	1249
114	162	1247
115	163	1244
116	164	1240
117	167	1248
118	168	1248
119	169	1246
120	171	1243
121	172	1239
122	173	1237
123	174	1235
124	176	1234
125	177	1232
126	178	1228
127	180	1227
128	181	1226
129	183	1225
130	184	1223
131	185	1220
132	186	1218
133	188	1216
134	189	1214
135	190	1211
136	192	1210
137	193	1208
138	194	1206
139	196	1205
140	197	1206
141	199	1202
142	200	1201
143	201	1200
144	203	1199
145	204	1199
146	206	1197
147	208	1197
148	209	1196
149	211	1196
150	213	1197
151	214	1197
152	216	1196
153	217	1194
154	218	1193
155	220	1192
156	221	1190
157	223	1189
158	224	1187
159	225	1185
160	226	1181
161	228	1181
162	229	1179
163	231	1178
164	232	1176
165	233	1175
166	235	1172
167	236	1170
168	237	1169
169	239	1167
170	240	1165
171	241	1163
172	243	1163
173	244	1162
174	246	1159
175	247	1158
176	248	1156
177	250	1154
178	251	1153
179	252	1151
180	254	1149
181	255	1147
182	256	1145
183	258	1145
184	259	1143
185	261	1143
186	262	1141
187	263	1139
188	265	1137
189	266	1136
190	267	1134
191	269	1132
192	270	1131
193	272	1131
194	273	1130
195	275	1128
196	276	1127
197	277	1125
198	279	1125
199	280	1123
200	282	1121
201	283	1120
202	284	1118
203	286	1117
204	287	1114
205	288	1113
206	290	1112
207	291	1110
208	292	1108
209	294	1106
210	295	1104
211	296	1103
212	298	1102
213	299	1100
214	300	1098
215	302	1096
216	303	1095
217	304	1093
218	306	1092
219	307	1090
220	308	1088
221	310	1087
222	311	1085
223	312	1083
224	314	1082
225	315	1080
226	316	1078
227	318	1077
228	319	1075
229	320	1073
230	322	1072
231	323	1070
232	324	1068
233	325	1066
234	327	1064
235	328	1062
236	329	1060
237	330	1059
238	332	1057
239	333	1055
240	334	1054
241	336	1053
242	337	1051
243	338	1049
244	340	1048
245	341	1046
246	342	1044
247	343	1042
248	345	1040
249	346	1039
250	348	1038
251	349	1037
252	350	1035
253	351	1033
254	353	1031
255	354	1030
256	355	1028
257	357	1027
258	358	1025
259	360	1024
260	361	1023
261	363	1023
262	364	1022
263	366	1020
264	367	1018
265	368	1017
266	370	1015
267	371	1014
268	372	1012
269	373	1010
270	375	1008
